id,abv,spirit_type,fair_price,total_score,wishlist_count,bar_count,ranking
726,43,Scotch,92.88,993,86,640,396
4789,47.5,Bourbon,68.6,988,97,637,397
18521,50,Bourbon,95.06,986,113,626,398
16248,46,Bourbon,29.38,985,30,755,399
27294,62.25,Bourbon,121.89,984,49,808,400
20206,46,Bourbon,38.99,984,33,674,400
3616,35,Whiskey,38.96,984,45,723,400
39325,62.3,Bourbon,131.16,980,92,836,403
17378,59,Bourbon,83.14,980,82,666,403
4496,45.1,Bourbon,97.71,974,96,630,405
19147,53.65,Whiskey,113.08,973,165,547,406
48295,65.15,Bourbon,135.62,973,86,694,406
39943,61.6,Whiskey,106.43,969,102,639,408
16050,57.5,Bourbon,186.15,969,125,548,408
567,45.2,Rye,51.17,967,59,695,410
49176,50.6,Bourbon,122.17,967,173,612,410
14303,65.5,Bourbon,98.07,964,281,346,412
13891,58.9,Whisky,152.28,962,178,429,413
17399,62,Bourbon,86.86,958,110,602,414
1286,45.5,Whiskey,121.62,957,123,503,415
3208,43,Single Malt Scotch Whisky,85.27,957,119,601,415
17862,43.3,Bourbon,33.13,956,95,657,417
17064,50,Whiskey,56.2,954,107,552,418
1786,57.5,Rye,79.14,954,39,694,418
11663,40,Tequila,194.98,952,110,543,420
20692,57.5,Bourbon,225.15,952,263,357,420
17101,63.95,Bourbon,126.1,950,93,601,422
16879,49,Bourbon,62.7,947,139,581,423
43333,45.6,Whiskey,224.96,947,118,635,423
12408,40,Tequila,190.43,944,96,556,425
13979,50,Bourbon,252.23,935,585,138,426
3097,45,Bourbon,476.63,930,665,45,427
4622,43,Whiskey,101.34,930,127,546,427
16502,47,Bourbon,44.94,930,95,578,427
413,43,Bourbon,18.38,929,99,352,430
3956,45.2,Bourbon,51.57,927,99,610,431
20813,46,Bourbon,64.42,923,47,619,432
1693,50,Bourbon,16.98,917,101,612,433
1753,51,Bourbon,49.34,917,179,471,433
18439,55,Bourbon,123.39,910,94,638,435
17547,61.3,Bourbon,64.12,894,69,579,436
46347,67.5,Whiskey,252.21,893,381,290,437
19658,55.3,Bourbon,137.21,891,92,511,438
1730,50,Bourbon,290.14,888,651,79,439
2419,35,Canadian Whisky,32.37,888,55,642,439
6462,44,Gins,40.56,884,116,458,441
15345,62.9,Whiskey,386.68,878,426,95,442
2670,55,Bourbon,146.87,877,360,283,443
4859,42,Whiskey,66.55,873,110,558,444
145,65,Bourbon,67.63,872,258,299,445
4864,40,Scotch,59.28,868,151,496,446
19569,58.5,Whiskey,86.22,867,116,577,447
17420,45,Bourbon,831.74,864,574,14,448
363,43,Bourbon,28.12,862,71,566,449
1297,45,Rye,48.3,854,90,578,450
17126,50,Bourbon,22.16,854,67,591,450
17354,50,Whiskey,126.61,851,73,485,452
2128,43,Scotch,100.48,848,111,519,453
45695,60,Bourbon,283.51,845,145,491,454
18872,48,Bourbon,403.53,844,273,282,455
2433,40,Scotch,52.81,842,150,451,456
18356,65.55,Bourbon,249.2,840,157,499,457
16995,52.35,Bourbon,167.84,838,291,248,458
16458,51.5,Rye,44.06,831,49,587,459
34209,62.7,Bourbon,89.4,830,73,620,460
20519,50,Rye,133.85,826,52,461,461
17389,50,Rye,84.93,825,133,490,462
4631,43,Bourbon,42.32,822,145,422,463
